Reference,Value,Footprint,JLCPCB Part #,Qty,Source,Total Price ($)
"C1,C12,C2,C9",10uF,0603,C19702,30,30 JLCPCB,1.734
C4,10nF,0603,C57112,20,20 JLCPCB,0.36
C7,22uF,0603,C59461,20,20 JLCPCB,0.47
"C10,C14,C15,C3,C5,C6,C8",0.1uF,0603,C14663,45,45 JLCPCB,0.486
C11,10pF,0603,C1634,20,20 JLCPCB,0.118
C13,1.0uF,0603,C15849,20,20 JLCPCB,0.308
"D1,D2",LED,0603,C2290,20,20 JLCPCB,0.24
"D3,D5,D6,D7",SS14,D_SMA,C2480,30,30 JLCPCB,0.501
D4,PESD0402-140,DIO_PESD0402-140,C10662,8,8 JLCPCB,1.0552
J3,BatteryJST,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337,6,6 JLCPCB,0.2076
J4,GPSAntennacoaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374,7,7 JLCPCB,0.7511
"J6,J7",USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C5184243,10,10 JLCPCB,9.361
L1,2.66?,0603,C113030,13,13 JLCPCB,1.0842
L2,1uH,0603,C2839970,20,20 JLCPCB,0.438
Q1,FS8205A,SOP65P640X120-8N,C2830320,9,9 JLCPCB,0.5076
"R1,R2,R5",1K,0603,C21190,25,25 JLCPCB,0.12
R3,3K,0603,C4211,20,20 JLCPCB,0.038
R4,100,0603,C22775,20,20 JLCPCB,0.064
R6,10,0603,C22859,20,20 JLCPCB,0.05
"R7,R8",33,0603,C23140,20,20 JLCPCB,0.034
"R10,R19,R20,R22,R9",10K,0603,C25804,35,35 JLCPCB,0.574
R11,0,0603,C21189,20,20 JLCPCB,0.044
"R12,R13,R17,R18",5.1K,0603,C23186,30,30 JLCPCB,0.06
R14,1.13M,0603,C166907,20,20 JLCPCB,0.042
R15,200K,0603,C25811,20,20 JLCPCB,0.042
R16,1M,0603,C22935,20,20 JLCPCB,0.046
R21,91K,0603,C101235,20,20 JLCPCB,0.03
SW1,BootButton,SW_SPST_TL3342,C2886894,10,10 JLCPCB,6.551
SW2,ResetButton,SW_SPST_TL3342,C2886894,10,10 JLCPCB,6.551
U1,ESP32-C6-MINI-1,ESP32-C6-MINI-1,C5736265,5,5 JLCPCB,18.5195
U2,MAX-M10S,ublox_MAX,C4153167,5,5 JLCPCB,49.5215
U3,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,5,5 JLCPCB,0.928
U4,DW01A,SOT-23-6,C18164398,10,10 JLCPCB,0.243
U5,TPS63060,Texas_S-PWSON-N10_ThermalVias,C48567,5,5 JLCPCB,13.037

"J2,J5,J8,J9",Conn_01x01,SolderWirePad_1x01_SMD_1x2mm
TP1,3V3,TestPoint_Pad_D2.0mm,,,
TP2,GND,TestPoint_Pad_D2.0mm,,,
TP3,RX0,TestPoint_Pad_D2.0mm,,,
TP4,TX0,TestPoint_Pad_D2.0mm,,,
,,,,,Est. Total Price 139.7647
